"","nl12","nl13","nl14","nl15","nl16","nl17","nl18","nl19","nl20"
"445",1.01409738262494,0.368879018440133,0.63060408617769,0,0,0,0,0,0
"446",0,0,0,0,0,0,0,0,0
"447",0,0,0,0,0,0,0,0,0
"448",1.6973418363436,0.973372185676117,2.68450116219483,2.22254898886042,1.38269103136588,1.92175729162111,2.74153532850461,3.0267418294441,2.07758470736151
"449",0.945181266373436,0.628004852207315,0.691563956389491,0.010103803653045,0,0,0.0300760695198238,0.0386905326139207,0
"450",0.0528864806348627,0.64471762966026,0.157301060178063,0.427159518003464,1.07063395597718,1.76705436645584,1.40100296519019,1.23203228549524,1.10421041602438
"451",0,0,0,0,0,0,0,0,0
"452",0,0,0,0,0,0,0,0,0
"453",0,0,0,0,0,0,0,0,0
"454",1.16595508654912,1.20471601188183,0.779883215824763,1.03701797127724,0.927745441595713,1.2114591995875,2.0463766704003,1.31807573636373,1.39254148801168
"455",0,0,0,0,0,0,0,0,0
"456",0.985280998547872,0.0384811997413635,0,0,0,0,0,0,0
"457",0.240320097737842,0.511170587274763,0.0132907681994968,0.448030268483692,0.331457532776727,0.702030495140288,0.598672624429067,0.462017618285285,0.512623849842283
"458",0,0,0,0,0,0,0,0,0
"459",2.21895173617772,1.01931296714715,1.91234379155295,1.75197427613395,0.994725831917354,1.42347984654563,1.57614277090345,1.52469629049301,1.7515920996666
"460",0,0,0,0,0,0,0,0,0
"461",0,0,0,0,0,0,0,0,0
"462",0,0,0,0,0,0,0,0,0
"463",1.08186634168738,1.14680749674638,2.02536672069913,1.70017345462527,1.52676315676598,1.46470048314049,0.971744629598799,0.785452047983805,0.691264568340211
"464",0,0,0,0,0,0,0,0,0
"465",0,0,0,0,0,0,0,0,0
"466",0.579561579685945,1.00266857789113,0.975987017154694,0.809759676456451,0.781077137360206,1.8580958201335,2.13308123441843,1.38920568502866,0.814094341718234
"467",0,0,0,0,0,0,0,0,0
"468",0,0,0,0,0,0,0,0,0
"469",0,0,0,0,0,0,0,0,0
"470",1.07437144007002,0.528225558144706,0.438603073358536,0.310427056891578,0.230220149670328,0.342280083468982,0.454198441335133,0.356804307018008,0.394548854657582
"471",0.849366244147806,1.00052722762613,0.00735145719612346,0,0,0,0.179266922614154,0.0410536369856666,0
"472",2.20705373883247,0.963470056653023,0.913733053207398,0.597647380828857,0.509367978572845,0.563248443603516,0.800627267360687,0.676057475805283,0.709970682859421
"473",0,0,0,0,0,0,0,0,0
"474",0,0,0,0,0,0,0,0,0
"475",0,0,0,0,0,0,0,0,0
"476",0,0,0,0,0,0,0,0,0
"477",0,0,0,0,0,0,0,0,0
"478",0,0,0,0,0,0,0,0,0
"479",1.70433029532433,0,0,0,0,0,0,0,0
"480",2.26885410149892,0,0,0,0,0,0,0,0
"481",0,0,0,0,0,0,0,0,0
"482",0,0,0,0,0,0,0,0,0
"483",0,1.42400705814362,2.20978724956512,2.3334649503231,2.41178619861603,2.30487567186356,3.06604915857315,4.33851352334023,2.26345512270927
"484",0.305675502866507,0.733858133355776,1.03836525479953,0.934877927104632,1.71554084618886,0.899711350599925,3.93847727775574,3.87774190306664,4.19384506344795
"485",0.108729459345341,1.28342914581299,2.13512659072876,2.48821437358856,2.4069299697876,2.48707476258278,2.94032919406891,4.69391077756882,2.68043223023415
"486",0.488915940125783,1.20403945446014,2.33512202898661,2.84069244066874,2.59259871641795,2.41140977541606,3.47656544049581,5.72723452250163,4.43434993426005
"487",0.0959014128893614,0.363128136843443,1.38172489404678,0.681487768888474,1.39481975138187,0.319733917713165,2.92826578021049,1.46657196432352,1.37426664680243
"488",0.82270684838295,1.28347265720367,1.10464876890182,1.1426402926445,0.76405942440033,0.939087510108948,1.36259013414383,1.32010918855667,1.37311244010925
"489",0,0.275314927101135,0,0,0.0791470408439636,0,1.87471824884415,0.68079786002636,6.3516286611557
"490",0.536241360008717,0.923589363694191,0.761284992098808,0.769625872373581,0.432873338460922,0.611586406826973,1.60810527205467,1.41424766182899,0.893031060695648
"491",1.63042289901663,1.01339845856031,2.1214771690192,1.39349157280392,1.32247053252326,1.94514085186852,2.40036896864573,1.78910942210091,2.06598157573629
"492",0.595422193408012,0.534100450575352,0.681312372287114,0.581095884243647,0.431908130645752,0.715872228145599,1.19638857245445,0.856092939774195,1.04564556479454
"493",0.515772417865016,0.43487747149034,0.165166867050258,0,0,0,0.761843543161045,1.49842616644773,1.28067914464257
"494",0.245987288653851,0.746223479509354,0.722760200500488,0.631829753518105,0.399626642465591,0.559608414769173,1.21091288328171,1.10373611748219,0.677818357944489
"495",0.0920428894460201,0,0.133206874132156,0,0,0,0.184164613485336,0.641556456685066,1.29625752568245
"496",0.149597465991974,0,0,0,0,0,0,0,0
"497",0,0,0,0,0,0,0,0,0
"498",0,0.298041820526123,0,0,0,0,0,0,0
"499",0.976462668180466,1.01432833909988,1.15211977124214,1.62939011096954,1.34709589719772,1.49296760082245,0.834944055080414,0.844262673854828,0.728037347793579
"500",0,0,0,0,0,0,0,0,1.13829853534698
"501",1.47077654153109,0.893979515135288,2.70968540012836,2.40884439051151,1.96059110760689,2.0209996342659,2.23409684896469,1.43167749047279,1.00307056009769
"502",1.19460110366344,1.37931987299369,2.15799333155155,1.61338183513054,1.31384998903825,1.16374245228676,1.45576883737858,1.96754971948954,1.77203353437094
"503",1.5274270780498,2.15741852651998,3.83564802641191,3.38785577425497,2.63004244826167,2.53919906876414,2.73165764209583,3.27947559967864,3.02490964093184
"504",1.22726355493069,1.35518524050713,2.5176174385207,3.48246192932129,3.21585577726364,3.06500990901675,4.67214619261878,5.97525194713048,3.8747598358563
"505",0,0,0,0,0,0,0,0,0
"506",0.888171619176865,0.94759055574735,1.93492851257324,2.19962510665258,1.9621896704038,1.83238901694616,2.42487187385559,0.973423957824707,0.400051689147949
"507",0.534536242485046,0.900443816184998,0.914423382282257,1.06986804008484,0.944632840156555,1.09199674129486,2.5998553276062,1.65310282707214,1.45562907457352
"508",0,0,0,0,0,0,0,0,0
"509",0.192073899507523,0.497425085306168,1.16446676254272,1.23150629997253,0.705141913890839,0.499816358089447,0.64615752696991,0.697493481636047,0.644792890548706
"510",0.760550220807393,0.739719072977702,0.894094566504161,1.14049247900645,0.914888183275859,0.941291769345601,0.891400913397471,0.698297003904978,0.829667309919993
"511",2.94890817082845,1.50756603020888,4.39562737483245,4.63430846425203,2.34202223099195,2.90724024520471,2.56714450625273,2.1074880785667,1.39576862064692
"512",0.0337698215788061,0.221312727440487,0.744192494587465,0.0515876466577703,0.0324548780918121,0,0,0.79037717255679,0
"513",1.14224379777573,1.41625299664696,2.24410090352712,1.6586774289608,1.31207886070348,1.67382875922021,2.33748907051729,2.52389979295516,1.92071102542824
"514",0.722092598676682,0.557738095521927,0.669927090406418,1.03606832027435,0.696699023246765,0.799371093511581,0.875181466341019,0,0.850960463285446
"515",1.0880078971386,0.930852989355723,1.71034707625707,1.65061088403066,1.28665908177694,1.36904148260752,1.62457948923111,1.194210678339,0.984137852986654
"516",0.362674832344055,0.336960328949822,0.953691257370843,0.61659750673506,0.555506683058209,0.689752525753445,0.824810087680817,0.806195530626509,0.696092545986176
"517",0.280999938646952,0.459523412088553,1.53372283776601,1.20618718365828,0.460386293629805,0,0.0555091400941213,0.0571340918540955,0.103619948029518
"518",0,0,0.139166206121445,0,1.02651236206293,0.278404831886292,0,0.499390505254269,0.0951362997293472
