cr_id,cr_name,province_id,province_name,city
3105,Kepulauan Sangihe,31,Sulawesi Utara,FALSE
3106,Kepulauan Talaud,31,Sulawesi Utara,FALSE
3107,Kota Bitung,31,Sulawesi Utara,TRUE
3108,Kota Kotamobagu,31,Sulawesi Utara,TRUE
3109,Kota Manado,31,Sulawesi Utara,TRUE
3110,Kota Tomohon,31,Sulawesi Utara,TRUE
3111,Minahasa,31,Sulawesi Utara,FALSE
3112,Minahasa Selatan,31,Sulawesi Utara,FALSE
3113,Minahasa Tenggara,31,Sulawesi Utara,FALSE
3114,Minahasa Utara,31,Sulawesi Utara,FALSE
3115,Siau Tagulandang Biaro,31,Sulawesi Utara,FALSE
3201,Agam,32,Sumatera Barat,FALSE
3202,Dharmasraya,32,Sumatera Barat,FALSE
3203,Kepulauan Mentawai,32,Sumatera Barat,FALSE
3204,Kota Bukittinggi,32,Sumatera Barat,TRUE
3205,Kota Padang,32,Sumatera Barat,TRUE
3206,Kota Padang Panjang,32,Sumatera Barat,TRUE
3207,Kota Pariaman,32,Sumatera Barat,TRUE
3208,Kota Payakumbuh,32,Sumatera Barat,TRUE
3209,Kota Sawah Lunto,32,Sumatera Barat,TRUE
3210,Kota Solok,32,Sumatera Barat,TRUE
3211,Lima Puluh Kota,32,Sumatera Barat,TRUE
3212,Padang Pariaman,32,Sumatera Barat,FALSE
3213,Pasaman,32,Sumatera Barat,FALSE
3214,Pasaman Barat,32,Sumatera Barat,FALSE
3215,Pesisir Selatan,32,Sumatera Barat,FALSE
3216,Sijunjung,32,Sumatera Barat,FALSE
3217,Solok,32,Sumatera Barat,FALSE
3218,Solok Selatan,32,Sumatera Barat,FALSE
3219,Tanah Datar,32,Sumatera Barat,FALSE
3301,Banyu Asin,33,Sumatera Selatan,FALSE
3302,Empat Lawang,33,Sumatera Selatan,FALSE
3303,Kota Lubuklinggau,33,Sumatera Selatan,TRUE
3304,Kota Pagar Alam,33,Sumatera Selatan,TRUE
3305,Kota Palembang,33,Sumatera Selatan,TRUE
3306,Kota Prabumulih,33,Sumatera Selatan,TRUE
3307,Lahat,33,Sumatera Selatan,FALSE
3308,Muara Enim,33,Sumatera Selatan,FALSE
3309,Musi Banyuasin,33,Sumatera Selatan,FALSE
3310,Musi Rawas,33,Sumatera Selatan,FALSE
3311,Musi Rawas Utara,33,Sumatera Selatan,FALSE
3312,Ogan Ilir,33,Sumatera Selatan,FALSE
3313,Ogan Komering Ilir,33,Sumatera Selatan,FALSE
3314,Ogan Komering Ulu,33,Sumatera Selatan,FALSE
3315,Ogan Komering Ulu Selatan,33,Sumatera Selatan,FALSE
3316,Ogan Komering Ulu Timur,33,Sumatera Selatan,FALSE
3317,Penukal Abab Lematang Ilir,33,Sumatera Selatan,FALSE
3401,Asahan,34,Sumatera Utara,FALSE
3402,Batu Bara,34,Sumatera Utara,FALSE
3403,Dairi,34,Sumatera Utara,FALSE
3404,Deli Serdang,34,Sumatera Utara,FALSE
3405,Humbang Hasundutan,34,Sumatera Utara,FALSE
3406,Karo,34,Sumatera Utara,FALSE
3407,Kota Binjai,34,Sumatera Utara,TRUE
3408,Kota Gunungsitoli,34,Sumatera Utara,TRUE
3409,Kota Medan,34,Sumatera Utara,TRUE
3410,Kota Padangsidimpuan,34,Sumatera Utara,TRUE
3411,Kota Pematang Siantar,34,Sumatera Utara,TRUE
3412,Kota Sibolga,34,Sumatera Utara,TRUE
3413,Kota Tanjung Balai,34,Sumatera Utara,TRUE
3414,Kota Tebing Tinggi,34,Sumatera Utara,TRUE
3415,Labuhan Batu,34,Sumatera Utara,FALSE
3416,Labuhan Batu Selatan,34,Sumatera Utara,FALSE
3417,Labuhan Batu Utara,34,Sumatera Utara,FALSE
3418,Langkat,34,Sumatera Utara,FALSE
3419,Mandailing Natal,34,Sumatera Utara,FALSE
3420,Nias,34,Sumatera Utara,FALSE
3421,Nias Barat,34,Sumatera Utara,FALSE
3422,Nias Selatan,34,Sumatera Utara,FALSE
3423,Nias Utara,34,Sumatera Utara,FALSE
3424,Padang Lawas,34,Sumatera Utara,FALSE
3425,Padang Lawas Utara,34,Sumatera Utara,FALSE
3426,Pakpak Bharat,34,Sumatera Utara,FALSE
3427,Samosir,34,Sumatera Utara,FALSE
3428,Serdang Bedagai,34,Sumatera Utara,FALSE
3429,Simalungun,34,Sumatera Utara,FALSE
3430,Tapanuli Selatan,34,Sumatera Utara,FALSE
3431,Tapanuli Tengah,34,Sumatera Utara,FALSE
3432,Tapanuli Utara,34,Sumatera Utara,FALSE
3433,Toba Samosir,34,Sumatera Utara,FALSE
